bird,group,active,pathway,area,slice,cFos_exact,ZENK_exact,cFos_Int,ZENK_Int,Total,Total_Int,cFos_percent,cFos,ZENK_percent,ZENK
2,ALAN,no,Extra,APH,1,4.6,14.6,46,146,100,1000,4.6,5,14.6,15
2,ALAN,no,Extra,APH,2,3.3,16.6,33,166,100,1000,3.3,3,16.6,17
3,ALAN,no,Extra,APH,1,8.7,35.5,87,355,100,1000,8.7,9,35.5,36
3,ALAN,no,Extra,APH,2,0.6,9,6,90,100,1000,0.6,1,9,9
4,day,yes,Extra,APH,1,0,0.2,0,2,100,1000,0,0,0.2,0
6,day,yes,Extra,APH,1,0.8,2,8,20,100,1000,0.8,1,2,2
6,day,yes,Extra,APH,2,2.2,0.6,22,6,100,1000,2.2,2,0.6,1
13,night,no,Extra,APH,1,0,0.9,0,9,100,1000,0,0,0.9,1
13,night,no,Extra,APH,2,0,0,0,0,100,1000,0,0,0,0
14,ALAN,yes,Extra,APH,1,1.8,1.8,18,18,100,1000,1.8,2,1.8,2
14,ALAN,yes,Extra,APH,2,0.9,3.2,9,32,100,1000,0.9,1,3.2,3
15,ALAN,yes,Extra,APH,1,0.3,3.1,3,31,100,1000,0.3,0,3.1,3
15,ALAN,yes,Extra,APH,2,2.7,4.5,27,45,100,1000,2.7,3,4.5,5
16,day,yes,Extra,APH,1,0,0.4,0,4,100,1000,0,0,0.4,0
16,day,yes,Extra,APH,2,0.8,0,8,0,100,1000,0.8,1,0,0
18,night,no,Extra,APH,1,0,1,0,10,100,1000,0,0,1,1
18,night,no,Extra,APH,2,0,9.4,0,94,100,1000,0,0,9.4,9
20,ALAN,yes,Extra,APH,1,0,8.1,0,81,100,1000,0,0,8.1,8
21,night,no,Extra,APH,1,1.3,11.2,13,112,100,1000,1.3,1,11.2,11
21,night,no,Extra,APH,2,0.8,8.3,8,83,100,1000,0.8,1,8.3,8
22,night,no,Extra,APH,1,0,0,0,0,100,1000,0,0,0,0
22,night,no,Extra,APH,2,0,1.4,0,14,100,1000,0,0,1.4,1
24,day,yes,Extra,APH,1,7.3,6.3,73,63,100,1000,7.3,7,6.3,6
2,ALAN,no,Extra,MMD,1,1,8,10,80,100,1000,1,1,8,8
2,ALAN,no,Extra,MMD,2,2.6,16.1,26,161,100,1000,2.6,3,16.1,16
2,ALAN,no,Extra,MMD,3,3.4,14.2,34,142,100,1000,3.4,3,14.2,14
3,ALAN,no,Extra,MMD,1,6,27.9,60,279,100,1000,6,6,27.9,28
3,ALAN,no,Extra,MMD,2,4,34.7,40,347,100,1000,4,4,34.7,35
3,ALAN,no,Extra,MMD,3,2.2,21.8,22,218,100,1000,2.2,2,21.8,22
4,day,yes,Extra,MMD,1,1.1,8.3,11,83,100,1000,1.1,1,8.3,8
4,day,yes,Extra,MMD,2,1.3,9.3,13,93,100,1000,1.3,1,9.3,9
6,day,yes,Extra,MMD,1,4.9,10.3,49,103,100,1000,4.9,5,10.3,10
6,day,yes,Extra,MMD,2,3.6,8.4,36,84,100,1000,3.6,4,8.4,8
6,day,yes,Extra,MMD,3,10.9,22,109,220,100,1000,10.9,11,22,22
13,night,no,Extra,MMD,1,0.8,4.2,8,42,100,1000,0.8,1,4.2,4
13,night,no,Extra,MMD,2,0,2.1,0,21,100,1000,0,0,2.1,2
13,night,no,Extra,MMD,3,0.4,12.4,4,124,100,1000,0.4,0,12.4,12
14,ALAN,yes,Extra,MMD,1,8.4,5.7,84,57,100,1000,8.4,8,5.7,6
14,ALAN,yes,Extra,MMD,2,6.1,20.4,61,204,100,1000,6.1,6,20.4,20
14,ALAN,yes,Extra,MMD,3,4.1,25.5,41,255,100,1000,4.1,4,25.5,26
15,ALAN,yes,Extra,MMD,1,3.5,19.7,35,197,100,1000,3.5,4,19.7,20
15,ALAN,yes,Extra,MMD,2,3.3,45.7,33,457,100,1000,3.3,3,45.7,46
15,ALAN,yes,Extra,MMD,3,3.5,30,35,300,100,1000,3.5,4,30,30
16,day,yes,Extra,MMD,1,1.2,1.6,12,16,100,1000,1.2,1,1.6,2
16,day,yes,Extra,MMD,2,0.4,4.2,4,42,100,1000,0.4,0,4.2,4
16,day,yes,Extra,MMD,3,0.2,11.4,2,114,100,1000,0.2,0,11.4,11
18,night,no,Extra,MMD,1,1.1,25.9,11,259,100,1000,1.1,1,25.9,26
18,night,no,Extra,MMD,2,3.7,19.1,37,191,100,1000,3.7,4,19.1,19
18,night,no,Extra,MMD,3,1.5,15.9,15,159,100,1000,1.5,2,15.9,16
20,ALAN,yes,Extra,MMD,1,4.4,32.3,44,323,100,1000,4.4,4,32.3,32
20,ALAN,yes,Extra,MMD,2,4.2,38.4,42,384,100,1000,4.2,4,38.4,38
21,night,no,Extra,MMD,1,3.4,6.6,34,66,100,1000,3.4,3,6.6,7
21,night,no,Extra,MMD,2,2.8,8.4,28,84,100,1000,2.8,3,8.4,8
21,night,no,Extra,MMD,3,2.1,9.7,21,97,100,1000,2.1,2,9.7,10
22,night,no,Extra,MMD,1,2.4,7.3,24,73,100,1000,2.4,2,7.3,7
22,night,no,Extra,MMD,2,0,9.8,0,98,100,1000,0,0,9.8,10
22,night,no,Extra,MMD,3,0.5,7.8,5,78,100,1000,0.5,1,7.8,8
22,night,no,Extra,MMD,4,0.7,11.8,7,118,100,1000,0.7,1,11.8,12
24,day,yes,Extra,MMD,1,4.5,5.9,45,59,100,1000,4.5,5,5.9,6
24,day,yes,Extra,MMD,2,1.9,4,19,40,100,1000,1.9,2,4,4
24,day,yes,Extra,MMD,3,5.8,10.7,58,107,100,1000,5.8,6,10.7,11
2,ALAN,no,Extra,E,1,2.1,22.3,21,223,100,1000,2.1,2,22.3,22
3,ALAN,no,Extra,E,1,0.4,14.7,4,147,100,1000,0.4,0,14.7,15
4,day,yes,Extra,E,1,0.6,14.8,6,148,100,1000,0.6,1,14.8,15
6,day,yes,Extra,E,1,1.1,14.1,11,141,100,1000,1.1,1,14.1,14
13,night,no,Extra,E,1,0.7,6.6,7,66,100,1000,0.7,1,6.6,7
14,ALAN,yes,Extra,E,1,2.9,15.7,29,157,100,1000,2.9,3,15.7,16
15,ALAN,yes,Extra,E,1,0.6,20.1,6,201,100,1000,0.6,1,20.1,20
16,day,yes,Extra,E,1,0,7.3,0,73,100,1000,0,0,7.3,7
18,night,no,Extra,E,1,0.5,3.6,5,36,100,1000,0.5,1,3.6,4
20,ALAN,yes,Extra,E,1,1.4,12.2,14,122,100,1000,1.4,1,12.2,12
21,night,no,Extra,E,1,0.7,8.4,7,84,100,1000,0.7,1,8.4,8
24,day,yes,Extra,E,1,0.4,7.7,4,77,100,1000,0.4,0,7.7,8
2,ALAN,no,Extra,StP,1,1,10,10,100,100,1000,1,1,10,10
2,ALAN,no,Extra,StP,2,1.1,9.2,11,92,100,1000,1.1,1,9.2,9
2,ALAN,no,Extra,StP,3,3.7,16.8,37,168,100,1000,3.7,4,16.8,17
3,ALAN,no,Extra,StP,1,1,7.7,10,77,100,1000,1,1,7.7,8
3,ALAN,no,Extra,StP,2,0.7,8.9,7,89,100,1000,0.7,1,8.9,9
3,ALAN,no,Extra,StP,3,0.9,16.4,9,164,100,1000,0.9,1,16.4,16
4,day,yes,Extra,StP,1,0,7.2,0,72,100,1000,0,0,7.2,7
6,day,yes,Extra,StP,1,0.9,11.6,9,116,100,1000,0.9,1,11.6,12
6,day,yes,Extra,StP,2,1.2,10.4,12,104,100,1000,1.2,1,10.4,10
6,day,yes,Extra,StP,3,3.1,14.7,31,147,100,1000,3.1,3,14.7,15
13,night,no,Extra,StP,1,0,4.6,0,46,100,1000,0,0,4.6,5
13,night,no,Extra,StP,2,0,2.5,0,25,100,1000,0,0,2.5,3
13,night,no,Extra,StP,3,0,5.6,0,56,100,1000,0,0,5.6,6
14,ALAN,yes,Extra,StP,1,4,23.5,40,235,100,1000,4,4,23.5,24
14,ALAN,yes,Extra,StP,2,6.7,16.7,67,167,100,1000,6.7,7,16.7,17
14,ALAN,yes,Extra,StP,3,2,25,20,250,100,1000,2,2,25,25
15,ALAN,yes,Extra,StP,1,2.1,12.8,21,128,100,1000,2.1,2,12.8,13
15,ALAN,yes,Extra,StP,2,0.3,19.3,3,193,100,1000,0.3,0,19.3,19
15,ALAN,yes,Extra,StP,3,0.8,7.5,8,75,100,1000,0.8,1,7.5,8
16,day,yes,Extra,StP,1,0,5.5,0,55,100,1000,0,0,5.5,6
16,day,yes,Extra,StP,2,0,6.2,0,62,100,1000,0,0,6.2,6
16,day,yes,Extra,StP,3,0,7,0,70,100,1000,0,0,7,7
18,night,no,Extra,StP,1,0,14.9,0,149,100,1000,0,0,14.9,15
18,night,no,Extra,StP,2,0,8.4,0,84,100,1000,0,0,8.4,8
20,ALAN,yes,Extra,StP,1,3.4,21.2,34,212,100,1000,3.4,3,21.2,21
21,night,no,Extra,StP,1,2.4,12.1,24,121,100,1000,2.4,2,12.1,12
21,night,no,Extra,StP,2,2.3,13.9,23,139,100,1000,2.3,2,13.9,14
21,night,no,Extra,StP,3,2.5,10.8,25,108,100,1000,2.5,3,10.8,11
22,night,no,Extra,StP,1,0,4.2,0,42,100,1000,0,0,4.2,4
22,night,no,Extra,StP,2,0.9,8.6,9,86,100,1000,0.9,1,8.6,9
24,day,yes,Extra,StP,1,5.7,28.7,57,287,100,1000,5.7,6,28.7,29
24,day,yes,Extra,StP,2,2.9,15.1,29,151,100,1000,2.9,3,15.1,15
24,day,yes,Extra,StP,3,0.3,37.7,3,377,100,1000,0.3,0,37.7,38
2,ALAN,no,Extra,MLV,1,2.8,14.8,28,148,100,1000,2.8,3,14.8,15
2,ALAN,no,Extra,MLV,2,2.6,13.9,26,139,100,1000,2.6,3,13.9,14
